algo,tf,risk,sl,tp,cb,adx_max,os,ob,p_all,p_act,cov,mean,mean_a,best,worst
hw_range,5m,5.0,5.0,0.8,1.0,99,35,65,0.35454545454545455,0.73125,0.48484848484848486,-0.3197922703639984,-0.6595715576257467,0.5747124320722463,-5.7732255449800505
hw_range,5m,5.0,5.0,0.8,1.0,40,35,65,0.2515151515151515,0.7280701754385965,0.34545454545454546,-0.2375567677307531,-0.6876643276416537,0.5747124320722463,-5.7732255449800505
rsi_cross,5m,5.0,5.0,0.8,1.0,25,35,65,0.4,0.7252747252747253,0.5515151515151515,-0.2800061425040499,-0.507703445199651,0.6204331164492913,-5.73965086399005
rsi_cross,5m,5.0,5.0,0.8,1.0,40,35,65,0.4,0.7252747252747253,0.5515151515151515,-0.2800061425040499,-0.507703445199651,0.6204331164492913,-5.73965086399005
rsi_cross,5m,5.0,5.0,0.8,1.0,99,35,65,0.4,0.7252747252747253,0.5515151515151515,-0.2800061425040499,-0.507703445199651,0.6204331164492913,-5.73965086399005
rsi_cross,5m,5.0,2.5,0.6,1.0,25,35,65,0.2818181818181818,0.7209302325581395,0.39090909090909093,-0.3671742680921454,-0.9392830113985113,0.840866232898577,-6.180825949288177
rsi_cross,5m,5.0,2.5,0.6,1.0,40,35,65,0.2818181818181818,0.7209302325581395,0.39090909090909093,-0.3671742680921454,-0.9392830113985113,0.840866232898577,-6.180825949288177
rsi_cross,5m,5.0,2.5,0.6,1.0,99,35,65,0.2818181818181818,0.7209302325581395,0.39090909090909093,-0.3671742680921454,-0.9392830113985113,0.840866232898577,-6.180825949288177
hw_range,5m,5.0,3.0,0.6,1.0,99,35,65,0.2636363636363636,0.71900826446281,0.36666666666666664,-0.4135408434095673,-1.1278386638442743,0.6245207201204295,-5.995052889154508
rsi_cross,15m,5.0,3.5,0.5,1.0,25,35,65,0.17791411042944785,0.71900826446281,0.2474437627811861,-0.06811731243616313,-0.2752840147213535,0.6350740959023682,-5.484320167425665
rsi_cross,15m,5.0,3.5,0.5,1.0,40,35,65,0.17791411042944785,0.71900826446281,0.2474437627811861,-0.06811731243616313,-0.2752840147213535,0.6350740959023682,-5.484320167425665
rsi_cross,15m,5.0,3.5,0.5,1.0,99,35,65,0.17791411042944785,0.71900826446281,0.2474437627811861,-0.06811731243616313,-0.2752840147213535,0.6350740959023682,-5.484320167425665
rsi_cross,5m,5.0,4.0,0.7,1.0,25,35,65,0.3484848484848485,0.71875,0.48484848484848486,-0.2974322486969663,-0.6134540129374929,0.6505413955615893,-5.832092500939424
rsi_cross,5m,5.0,4.0,0.7,1.0,40,35,65,0.3484848484848485,0.71875,0.48484848484848486,-0.2974322486969663,-0.6134540129374929,0.6505413955615893,-5.832092500939424
rsi_cross,5m,5.0,4.0,0.7,1.0,99,35,65,0.3484848484848485,0.71875,0.48484848484848486,-0.2974322486969663,-0.6134540129374929,0.6505413955615893,-5.832092500939424
hw_range,5m,5.0,4.0,0.7,1.0,99,35,65,0.3,0.7122302158273381,0.4212121212121212,-0.40757734711598553,-0.9676296730091742,0.5933905400902972,-5.853779857853738
hw_range,15m,5.0,3.5,0.5,1.0,99,35,65,0.17177914110429449,0.711864406779661,0.24130879345603273,-0.1539582657429822,-0.6380134910874431,0.5873158782146248,-5.705442439040482
hw_range,5m,5.0,2.5,0.6,1.0,99,35,65,0.2606060606060606,0.7107438016528925,0.36666666666666664,-0.47397407302239625,-1.2926565627883533,0.7494248641445154,-6.194063466985426
