algo,risk,sl,tp,adx_max,os,ob,mt,wr,p_act,cov,mean_a,mean_day,med_day,p_day50,p_day_pos,best_day,worst_day,n_days,n_act,n_trades
hw_range,10.0,5.0,0.35,99,30,70,1,0.8695652173913043,0.8695652173913043,0.0696969696969697,-0.5430163127275066,-0.41631250642442175,0.0,0.0,0.4,0.46013765222966185,-10.699820686138949,30,23,23
hw_range,20.0,5.0,0.35,99,30,70,1,0.8695652173913043,0.8695652173913043,0.0696969696969697,-1.0860326254550094,-0.8326250128488406,0.0,0.0,0.4,0.9202753044593379,-21.399641372277898,30,23,23
hw_range,35.0,5.0,0.35,99,30,70,1,0.8695652173913043,0.8695652173913043,0.0696969696969697,-1.9005570945462684,-1.4570937724854724,0.0,0.0,0.4,1.6104817828038307,-37.449372401486315,30,23,23
hw_range,5.0,8.0,0.6,40,30,70,2,0.8679245283018868,0.8541666666666666,0.14545454545454545,-0.4103773446718521,-0.6566037514749633,0.047236458877861764,0.0,0.5333333333333333,0.46221900348264455,-7.704734361117673,30,48,53
hw_range,5.0,8.0,0.6,40,30,70,3,0.8679245283018868,0.8541666666666666,0.14545454545454545,-0.4103773446718521,-0.6566037514749633,0.047236458877861764,0.0,0.5333333333333333,0.46221900348264455,-7.704734361117673,30,48,53
hw_range,10.0,8.0,0.6,40,30,70,2,0.8679245283018868,0.8541666666666666,0.14545454545454545,-0.8207801249197285,-1.3132481998715657,0.09447291775571642,0.0,0.5333333333333333,0.9254314706295048,-15.409468722235346,30,48,53
hw_range,10.0,8.0,0.6,40,30,70,3,0.8679245283018868,0.8541666666666666,0.14545454545454545,-0.8207801249197285,-1.3132481998715657,0.09447291775571642,0.0,0.5333333333333333,0.9254314706295048,-15.409468722235346,30,48,53
hw_range,20.0,8.0,0.6,40,30,70,2,0.8679245283018868,0.8541666666666666,0.14545454545454545,-1.64166199214356,-2.626659187429696,0.18894583551144706,0.0,0.5333333333333333,1.854836795915901,-30.818937444470677,30,48,53
hw_range,20.0,8.0,0.6,40,30,70,3,0.8679245283018868,0.8541666666666666,0.14545454545454545,-1.64166199214356,-2.626659187429696,0.18894583551144706,0.0,0.5333333333333333,1.854836795915901,-30.818937444470677,30,48,53
hw_range,35.0,8.0,0.6,40,30,70,2,0.8679245283018868,0.8541666666666666,0.14545454545454545,-2.873175559799492,-4.597080895679189,0.33065521214501814,0.0,0.5333333333333333,3.256395761327184,-53.93314052782367,30,48,53
hw_range,35.0,8.0,0.6,40,30,70,3,0.8679245283018868,0.8541666666666666,0.14545454545454545,-2.873175559799492,-4.597080895679189,0.33065521214501814,0.0,0.5333333333333333,3.256395761327184,-53.93314052782367,30,48,53
hw_range,5.0,10.0,0.5,40,30,70,2,0.8620689655172413,0.8461538461538461,0.07878787878787878,-0.48787595938833306,-0.42282583146988867,0.003287045744869488,0.0,0.5333333333333333,0.2648139781441472,-5.227520985084297,30,26,29
hw_range,5.0,10.0,0.5,40,30,70,3,0.8620689655172413,0.8461538461538461,0.07878787878787878,-0.48787595938833306,-0.42282583146988867,0.003287045744869488,0.0,0.5333333333333333,0.2648139781441472,-5.227520985084297,30,26,29
hw_range,5.0,6.0,0.5,40,30,70,2,0.8620689655172413,0.8461538461538461,0.07878787878787878,-0.5567048423461041,-0.48247753003329025,0.005478409574777743,0.0,0.5333333333333333,0.44153505432282714,-5.379201641807171,30,26,29
hw_range,5.0,6.0,0.5,40,30,70,3,0.8620689655172413,0.8461538461538461,0.07878787878787878,-0.5567048423461041,-0.48247753003329025,0.005478409574777743,0.0,0.5333333333333333,0.44153505432282714,-5.379201641807171,30,26,29
hw_range,10.0,10.0,0.5,40,30,70,2,0.8620689655172413,0.8461538461538461,0.07878787878787878,-0.9757312183731147,-0.8456337225900328,0.00657409148973187,0.0,0.5333333333333333,0.5299491196369388,-10.455041970168594,30,26,29
hw_range,10.0,10.0,0.5,40,30,70,3,0.8620689655172413,0.8461538461538461,0.07878787878787878,-0.9757312183731147,-0.8456337225900328,0.00657409148973187,0.0,0.5333333333333333,0.5299491196369388,-10.455041970168594,30,26,29
hw_range,10.0,6.0,0.5,40,30,70,2,0.8620689655172413,0.8461538461538461,0.07878787878787878,-1.113352183571242,-0.9649052257617432,0.010956819149555486,0.0,0.5333333333333333,0.8839622290585254,-10.758403283614342,30,26,29
hw_range,10.0,6.0,0.5,40,30,70,3,0.8620689655172413,0.8461538461538461,0.07878787878787878,-1.113352183571242,-0.9649052257617432,0.010956819149555486,0.0,0.5333333333333333,0.8839622290585254,-10.758403283614342,30,26,29
hw_range,20.0,10.0,0.5,40,30,70,2,0.8620689655172413,0.8461538461538461,0.07878787878787878,-1.951379635132039,-1.6911956837811004,0.01314818297946374,0.0,0.5333333333333333,1.0611828926684126,-20.910083940337202,30,26,29
hw_range,20.0,10.0,0.5,40,30,70,3,0.8620689655172413,0.8461538461538461,0.07878787878787878,-1.951379635132039,-1.6911956837811004,0.01314818297946374,0.0,0.5333333333333333,1.0611828926684126,-20.910083940337202,30,26,29
hw_range,20.0,6.0,0.5,40,30,70,2,0.8620689655172413,0.8461538461538461,0.07878787878787878,-2.226474362658619,-1.9296111143041368,0.02191363829911097,0.0,0.5333333333333333,1.771492939768521,-21.51680656722867,30,26,29
hw_range,20.0,6.0,0.5,40,30,70,3,0.8620689655172413,0.8461538461538461,0.07878787878787878,-2.226474362658619,-1.9296111143041368,0.02191363829911097,0.0,0.5333333333333333,1.771492939768521,-21.51680656722867,30,26,29
hw_range,35.0,10.0,0.5,40,30,70,2,0.8620689655172413,0.8461538461538461,0.07878787878787878,-3.414697007243816,-2.959404072944641,0.0230093202140651,0.0,0.5333333333333333,1.8604422773303497,-36.59264689559009,30,26,29
hw_range,35.0,10.0,0.5,40,30,70,3,0.8620689655172413,0.8461538461538461,0.07878787878787878,-3.414697007243816,-2.959404072944641,0.0230093202140651,0.0,0.5333333333333333,1.8604422773303497,-36.59264689559009,30,26,29
hw_range,35.0,6.0,0.5,40,30,70,2,0.8620689655172413,0.8461538461538461,0.07878787878787878,-3.895726372882438,-3.376296189831446,0.038348867023437094,0.0,0.5333333333333333,3.109479908930041,-37.65441149265018,30,26,29
hw_range,35.0,6.0,0.5,40,30,70,3,0.8620689655172413,0.8461538461538461,0.07878787878787878,-3.895726372882438,-3.376296189831446,0.038348867023437094,0.0,0.5333333333333333,3.109479908930041,-37.65441149265018,30,26,29
