entry_time,exit_time,side,mode,reason,entry,exit,pnl,r,outcome
2026-07-08 08:45:00+00:00,2026-07-08 09:15:00+00:00,buy,scalp,scalper_2h_long,61978.6484375,61740.68205915178,-3.8140062437216216,-1.0,sl
2026-07-08 09:15:00+00:00,2026-07-08 11:15:00+00:00,buy,scalp,scalper_2h_long,61826.91015625,62104.5,2.135804197282203,0.9042018563330008,time
2026-07-08 11:45:00+00:00,2026-07-08 12:30:00+00:00,sell,scalp,scalper_2h_short,62252.5,62090.89174107143,3.1234937489783423,1.3333333333333532,tp
2026-07-08 12:45:00+00:00,2026-07-08 13:00:00+00:00,buy,scalp,scalper_2h_long,62044.9609375,61886.27106584822,-4.339995037272737,-1.0,sl
2026-07-08 13:00:00+00:00,2026-07-08 13:25:00+00:00,buy,scalp,scalper_2h_long,61891.48828125,61743.73451450893,-3.584227433026209,-1.0,sl
2026-07-08 13:25:00+00:00,2026-07-08 13:30:00+00:00,buy,scalp,scalper_2h_long,61755.41015625,61934.51953125,2.4604865446731568,1.3333333333333333,tp
2026-07-08 13:30:00+00:00,2026-07-08 13:35:00+00:00,buy,scalp,scalper_2h_long,61816.69921875,62000.77845982143,2.870138863908245,1.3333333333333157,tp
2026-07-08 13:50:00+00:00,2026-07-08 14:00:00+00:00,buy,scalp,scalper_2h_long,61667.8984375,61906.549107142855,3.5221196375243515,1.3333333333333062,tp
2026-07-08 15:05:00+00:00,2026-07-08 16:55:00+00:00,buy,scalp,scalper_2h_long,61732.1796875,62087.58928571428,4.364992472237769,1.333333333333306,tp
2026-07-08 17:00:00+00:00,2026-07-08 17:20:00+00:00,sell,scalp,scalper_2h_short,62042.01171875,62189.32310267857,-5.398326364657936,-1.0,sl
2026-07-08 17:25:00+00:00,2026-07-08 17:35:00+00:00,sell,scalp,scalper_2h_short,62176.28125,62332.4306640625,-4.335707811168892,-1.0,sl
2026-07-08 17:35:00+00:00,2026-07-08 17:50:00+00:00,sell,scalp,scalper_2h_short,62282.78125,62069.38225446428,3.133740001004221,1.3333333333333788,tp
2026-07-08 19:45:00+00:00,2026-07-08 19:50:00+00:00,sell,scalp,scalper_2h_short,62219.2109375,62078.064174107145,3.255200356218192,1.3333333333332875,tp
2026-07-08 20:40:00+00:00,2026-07-08 21:10:00+00:00,buy,scalp,scalper_2h_long,62113.58984375,61993.804966517855,-4.992239181862526,-1.0,sl
2026-07-08 21:10:00+00:00,2026-07-08 21:55:00+00:00,buy,scalp,scalper_2h_long,62025.2109375,62181.31305803572,3.1060607004886207,1.3333333333333954,tp
2026-07-08 22:00:00+00:00,2026-07-08 22:05:00+00:00,sell,scalp,scalper_2h_short,62138.3203125,62253.0498046875,-4.670063220704503,-1.0,sl
2026-07-08 22:05:00+00:00,2026-07-09 00:05:00+00:00,sell,scalp,scalper_2h_short,62224.58984375,62122.0390625,1.6328236026061538,0.9091475767492598,time
2026-07-09 00:10:00+00:00,2026-07-09 01:05:00+00:00,buy,scalp,scalper_2h_long,62100.73828125,62230.802455357145,2.9198154239238665,1.333333333333383,tp
2026-07-09 01:10:00+00:00,2026-07-09 01:30:00+00:00,sell,scalp,scalper_2h_short,62501.26953125,62270.05022321428,3.917677661545288,1.3333333333333752,tp
2026-07-09 01:55:00+00:00,2026-07-09 02:50:00+00:00,buy,scalp,scalper_2h_long,61886.890625,61653.22209821428,-4.745396828037328,-1.0,sl
2026-07-09 02:50:00+00:00,2026-07-09 03:30:00+00:00,buy,scalp,scalper_2h_long,61697.48828125,61943.46930803572,3.8317276795102284,1.3333333333333728,tp
2026-07-09 03:35:00+00:00,2026-07-09 04:30:00+00:00,sell,scalp,scalper_2h_short,61963.890625,62136.0126953125,-4.8125120531409875,-1.0,sl
2026-07-09 04:30:00+00:00,2026-07-09 04:35:00+00:00,sell,scalp,scalper_2h_short,62039.76171875,62156.77971540178,-4.265095879743449,-1.0,sl
2026-07-09 04:35:00+00:00,2026-07-09 04:45:00+00:00,sell,scalp,scalper_2h_short,62150.390625,62267.83677455357,-3.4202767976219595,-1.0,sl
2026-07-09 04:45:00+00:00,2026-07-09 04:55:00+00:00,sell,scalp,scalper_2h_short,62252.48828125,62357.52845982143,-2.8236663055543616,-1.0,sl
2026-07-09 04:55:00+00:00,2026-07-09 05:10:00+00:00,sell,scalp,scalper_2h_short,62316.94140625,62419.434849330355,-2.2647934881019087,-1.0,sl
