symbol,tp_pips,sl_pips,trades,wr,exp_usd,pnl_usd,spread,rt_usd,tp_usd,pip_usd,bars
EURTRY,3,30,5748,55.98,-0.0241,-138.66,0.0,0.0,0.0063,0.0021,14410
CHFTRY,2,30,6640,55.86,-0.0254,-168.52,0.0,0.0,0.0042,0.0021,14410
CHFTRY,3,30,6623,55.85,-0.0242,-160.38,0.0,0.0,0.0063,0.0021,14410
EURZAR,2,20,6638,55.56,-0.0481,-319.43,0.0,0.0,0.0124,0.0062,14410
GBPHUF,2,30,5316,55.46,-0.3877,-2061.27,0.0,0.0,0.0633,0.0316,14410
GBPZAR,1,20,6871,54.82,-0.0525,-360.82,0.0,0.0,0.0062,0.0062,14410
GBPZAR,2,20,6863,54.74,-0.0492,-337.88,0.0,0.0,0.0124,0.0062,14410
GBPHUF,2,20,5624,52.08,-0.2703,-1520.13,0.0,0.0,0.0633,0.0316,14410
GBPHUF,3,30,5045,51.62,-0.4103,-2069.94,0.0,0.0,0.0949,0.0316,14410
CHFTRY,1,20,6733,50.74,-0.0196,-131.71,0.0,0.0,0.0021,0.0021,14410
GBPTRY,1,30,7097,50.51,-0.03,-213.03,0.0,0.0,0.0021,0.0021,14410
GBPTRY,2,30,7088,50.47,-0.029,-205.49,0.0,0.0,0.0042,0.0021,14410
CHFTRY,2,20,6720,50.46,-0.0186,-125.16,0.0,0.0,0.0042,0.0021,14410
GBPTRY,3,30,7075,49.77,-0.0284,-201.06,0.0,0.0,0.0063,0.0021,14410
AUDTHB,2,20,7081,47.56,-0.0288,-203.9,0.0,0.0,0.006,0.003,14410
AUDTHB,1,20,7081,47.56,-0.0302,-214.07,0.0,0.0,0.003,0.003,14410
GBPPLN,2,40,6594,47.42,-0.5374,-3543.62,0.0,0.0,0.0535,0.0268,14410
EURTRY,1,20,5947,47.33,-0.0211,-125.22,0.0,0.0,0.0021,0.0021,14410
EURTRY,2,20,5912,46.8,-0.0203,-120.07,0.0,0.0,0.0042,0.0021,14410
GBPPLN,1,30,6857,41.64,-0.4574,-3136.31,0.0,0.0,0.0268,0.0268,14410
GBPPLN,2,30,6780,40.47,-0.4562,-3093.15,0.0,0.0,0.0535,0.0268,14410
GBPTRY,1,20,7141,40.22,-0.0242,-172.7,0.0,0.0,0.0021,0.0021,14410
