symbol,tag,trades,win_rate,profit_factor,expectancy_r,net_pnl,max_dd_pct,final_equity,params
EURUSD=X,search:book_optimal,7,42.86,0.592,0.029,-151.14,1.75,9848.86,"{'min_rr': 1.0, 'book_min_triggers': 2, 'book_require_vwap': False, 'adx_min': 18, 'atr_sl_mult': 2.0, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,45,33.33,0.386,-0.155,-2013.14,20.13,7986.86,"{'min_rr': 1.5, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 1.2, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,47,34.04,0.413,-0.126,-1945.04,19.45,8054.96,"{'min_rr': 1.5, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 1.2, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,45,42.22,0.632,0.054,-1010.02,10.3,8989.98,"{'min_rr': 1.5, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 1.5, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,45,42.22,0.638,0.054,-986.54,10.07,9013.46,"{'min_rr': 1.5, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 1.5, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,47,40.43,0.617,0.033,-1161.32,12.93,8838.68,"{'min_rr': 1.5, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 2.0, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,47,40.43,0.617,0.033,-1161.32,12.93,8838.68,"{'min_rr': 1.5, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 18, 'atr_sl_mult': 2.0, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,32,31.25,0.371,-0.164,-1395.58,13.96,8604.42,"{'min_rr': 1.5, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 25, 'atr_sl_mult': 1.2, 'cost_buffer': 1.2}"
EURUSD=X,search:book_optimal,32,31.25,0.371,-0.164,-1395.58,13.96,8604.42,"{'min_rr': 1.5, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 25, 'atr_sl_mult': 1.2, 'cost_buffer': 2.0}"
EURUSD=X,search:book_optimal,31,32.26,0.398,-0.137,-1237.7,12.38,8762.3,"{'min_rr': 1.5, 'book_min_triggers': 1, 'book_require_vwap': True, 'adx_min': 25, 'atr_sl_mult': 1.5, 'cost_buffer': 1.2}"
